,taskName,iconId,
,cook,ChiefHat,
,drink more water,Coffee,
,packet  sachet  bag,Bag,
,road trip,Map,
,present presentation showing,presentation,
,night mood star halfmoon,Moon,
,bedroom,Bed,
,vehicle drive ride car going bus minibus schoolbus,Bus,
,message mail email post,Mail,
,swim in pool,Diving,
,explore city,Map,
,cooking meal,ChiefHat,
,go by bus,Bus,
,play games vieogames console controller joystick,Joystick,
,navigator compass orientation route,Navigation,
,cooking breakfast,ChiefHat,
,chill in bedroom,Bed,
,breakfast dinner meal yummy sneak,Chinese,
,cooking sneaks,ChiefHat,
,sleep in a badroom,Bed,
,date at a restaurant,Cocktail,
,ride a bus,Bus,
,cook sneaks,ChiefHat,
,wait a bus,Bus,
,grilled grille griller taste meat,Grill,
,laptop computer portable device,Laptop,
,recording monitoring listening,Binoculars,
,sit in badroom,Bed,
,molecular nuclear atomic science,Molecula,
,bus drive,Bus,
,cocktail bar cloub beach drink juice,Cocktail-2,
,cocktail,Cocktail-2,
,theatre white house government history building museum culture,Bank,
,calc budget,Calculator,
,go to bad,Bed,
,plan a trip,Addlocation,
,train straight power gym olympic,barbell,
,dive swim bathe,Diving,
,bar cocktail,Cocktail-2,
,eat eating lunch dinner breakfast,Chinese,
,sea ocean sunset sunrise sun water,Sea,
,calculator,Calculator,
,love live date like heart heartrate,Like-2,
,edit location,Addlocation,
,buss bus station waiting riding driving,Bus,
,drink cocktail,Cocktail-2,
,buy a bad,Bed,
,road trip so fun,Map,
,calculate,Calculator,
,get a bad,Bed,
,location set,Addlocation,
,listen to music,Binoculars,
,exchange,Currencyexchange,
,calculate money,Calculator,
,find search,Search,
,come to bad,Bed,
,burger sneak meal yummy macdonalds kfc fastfood badfood,Gamburger,
,shop,Cart,
,brain train,Brain,
,picnic sausage spoon grilled,Sausage,
,house home concrete building,Home,
,cart bank money,Card,
,shopping,Cart,
,ball football basketball volleyball play,beach-ball,
,cloud clouds weather wear rain storm nature,Cloud,
,culinary restaurant  cafe  canteen cutlery tablespoon dinning,Dish,
,stars,Consellation,
,swimming through corals,additional,
,train guitar,Guitar,
,brainstorm,Brain,
,buy some food,Cart,
,would like to see the statue of liberty,Location,
,rocket star space flight,Rocket,
,specify location to trip,Addlocation,
,watch a star,Consellation,
,dive ocean,Diving,
,buy food,Cart,
,wash laundry,Basket,
,get a fee,Bagofmoney,
,mark checkpoint position flag,Flag,
,planet earth,Saturn,
,buy the,Cart,
,find stars,Consellation,
,transmitter receiver transmission signal antena stream,SatelliteDish,
,mood smile human people,Emotion,
,dive sea,Diving,
,synchrony synchronous synchronize upload,Cloudyes,
,work,Case,
,cart bank money,Card,
,give fee,Bagofmoney,
,get snacks,Donut,
,part,Diagram-1,
,office work,Case,
,make a fee,Bagofmoney,
,meeting meet conversation discuss,meeting,
,ring notification buzzer ask,Notification,
,picnic kebab bonfire,Marshmallow,
,parts,Diagram-1,
,go to  brooklyn bridge,Navigation,
,sign paper,Case,
,secure password,Authorizationsuccess,
,dive into sea,Diving,
,washing closes,Basket,
,flying to a place,Landing,
,moody good,Emotion,
,papers work,Case,
,secure my girl,Authorizationsuccess,
,axe chopping wood,Ax,
,chill medication mental relax,meditation,
,pointer,Dirrection,
,compas navigator barometer pointer,Compass,
,dive into ocean,Diving,
,business work,Case,
,improve security,Authorizationsuccess,
,buy snacks for breakfast,Donut,
,brilliant jewelry valuable,Diamond,
,like repost subscription,Facebook,
,melody,Music,
,draw picture,Chart-6,
,have a snack,Apple,
,sleep,Bed,
,activity data graph plot,Chart-14,
,turn left,Arrowleft,
,melody noun,Music,
,dialog conversation conversating message messages messaging text sms send talk write read,Dialog,
,go to hudson river,Navigation,
,pet dog cat pig,animal,
,sleep well,Bed,
,chat,Dialog,
,dishes dish,Dish,
,see new york,Landing,
,flying to los angeles,Landing,
,go to sleep,Bed,
,turn right,Arrowright,
,write edit paper,Edit-1,
,buy snack,Apple,
,chat conversation message messages,Dialog,
,listen to music,Earphones,
,bag bags baggage packing,Backpack,
,charge electric thunder,Lightning,
,cooking,ChiefHat,
,go to ministry of,Bank,
,draw picture poctures paint canvas palette,Palette,
,ice cream,Icecream-1,
,flying to florida,Landing,
,paperbag busines,Case,
,music hear listen song headphones sound,Earphones,
,music,Earphones,
,sound,Earphones,
,earphones,Earphones,
,headphones,Earphones,
,music bands party,Earphones,
,music bands,Earphones,
,music band listen,Earphones,
,music band download,Earphones,
,music bands listen,Earphones,
,find music for travel,Earphones,
,mix music,Earphones,
,record music,Earphones,
,listen to music,Earphones,
,buy headphone,Earphones,
,buy earphone,Earphones,
,buy headphones,Earphones,
,buy earphones,Earphones,
,get headphone,Earphones,
,get earphone,Earphones,
,get headphones,Earphones,
,get earphones,Earphones,
,take headphone,Earphones,
,take earphone,Earphones,
,take headphones,Earphones,
,take earphones,Earphones,
,choose new headphone,Earphones,
,choose new earphone,Earphones,
,choose new headphones,Earphones,
,choose new earphones,Earphones,
,new headphone,Earphones,
,new earphone,Earphones,
,new headphones,Earphones,
,new earphones,Earphones,
,listened to some music and heard an entire album,Earphones,
,listened to some music,Earphones,
,hear entire album,Earphones,
,hear to some music,Earphones,
,make some music,Earphones,
,crazy about music,Earphones,
,high school music,Earphones,
,feel alive is music,Earphones,
,our music video,Earphones,
,music video,Earphones,
,music with my mom and sister,Earphones,
,goodies music on the radio,Earphones,
,goodies music,Earphones,
,music on the radio,Earphones,
,The music that I listened to today,Earphones,
,listen to really good music,Earphones,
,album from a favorite musician,Earphones,
,chill music on youtube,Earphones,
,new music venue,Earphones,
,dance and music,Earphones,
,Irish music,Earphones,
,listen to a musical group,Earphones,
,learning music,Earphones,
,listening to dance music,Earphones,
,fan of their music,Earphones,
,listening to pop music and rnb yesterday,Earphones,
,full music of a song,Earphones,
,really beautiful music,Earphones,
,listened to some new music,Earphones,
,assortment of music,Earphones,
,brought a new pair of headphones,Earphones,
,new bluetooth headphones,Earphones,
,cord for my headphones,Earphones,
,Got new wireless headphones,Earphones,
,locate my headphones,Earphones,
,fix my broken headphones,Earphones,
,new headphones today,Earphones,
,new headphones came from Amazon,Earphones,
,ordered headphones,Earphones,
,great quality Sony headphones,Earphones,
,I got my headphones,Earphones,
,listening on my headphones to good music,Earphones,
,pair of crown headphones,Earphones,
,Found a pair of headphones,Earphones,
,high quality headphones,Earphones,
,Laughing at a dialogue,Dialog,
,repeat those dialog,Dialog,
,message from a follower,Dialog,
,got a message,Dialog,
,message from,Dialog,
,received a phone message from,Dialog,
,phone message from,Dialog,
,phone message,Dialog,
,message through my office email,Dialog,
,message through office email,Dialog,
,office email,Dialog,
,message inside telling,Dialog,
,messages of absolute happiness,Dialog,
,messages of,Dialog,
,sent me a message,Dialog,
,sent a message,Dialog,
,sent message,Dialog,
,sent him message,Dialog,
,sent she message,Dialog,
,read her message,Dialog,
,read him message,Dialog,
,the message stated,Dialog,
,text message from my sister,Dialog,
,text message to my sister,Dialog,
,text message from my brother,Dialog,
,text message to my brother,Dialog,
,video message,Dialog,
,audio message,Dialog,
,email message via ancestry,Dialog,
,also message me,Dialog,
,receive email message about,Dialog,
,sebd email message about,Dialog,
,father sent me a message,Dialog,
,hearing a message at church,Dialog,
,convey the message,Dialog,
,facebook message from,Dialog,
,facebook message,Dialog,
,facebook message to,Dialog,
,instant message with a friend,Dialog,
,instant message,Dialog,
,message with a friend,Dialog,
,read the message,Dialog,
,sent me a text message,Dialog,
,send text message,Dialog,
,arrived in the mail,Dialog,
,letter in the mail from a freind,Dialog,
,mail from a freind,Dialog,
,letter from a freind,Dialog,
,mail from,Dialog,
,letter from,Dialog,
,came in the mail,Dialog,
,package in the mail,Dialog,
,support email saying,Dialog,
,email with my grades,Dialog,
,check in the mail,Dialog,
,check mail,Dialog,
,appreciation mail from my client,Dialog,
,mail from client,Dialog,
,read that morning in email,Dialog,
,emailed a company,Dialog,
,email a company,Dialog,
,stick in the mail,Dialog,
,pick up the mail,Dialog,
,mail from my cousin,Dialog,
,letter in the mail,Dialog,
,certificate in the mail,Dialog,
,mailbox everyday,Dialog,
,email offering,Dialog,
,email from a professor,Dialog,
,email from a stranger,Dialog,
,open my inbox and found a email,Dialog,
,surprise gift in the mail,Dialog,
,came in the mail,Dialog,
,wake up from my bed,Bed,
,make the bed,Bed,
,paint a bedroom,Bed,
,organize a bed room,Bed,
,breakfast in bed for my girlfriend,Bed,
,bed for my girlfriend,Bed,
,candle for my bedroom,Bed,
,my master bedroom,Bed,
,wanted for the bed room,Bed,
,serve it to me in bed,Bed,
,new bed topper,Bed,
,jump into my bed,Bed,
,her into bed,Bed,
,got out of bed late,Bed,
,reading a book on my bed,Bed,
,finish remodeling my bedroom,Bed,
,job in the bedroom,Bed,
,get it for my bedroom,Bed,
,cleaning her bedroom,Bed,
,getting new bedroom furniture,Bed,
,two bedroom apartment,Bed,
,stood in our bedroom,Bed,
,was in sleeping and i have dreamed about my life,Bed,
,sleep and dream,Bed,
,sleeping in your own bed,Bed,
,back on her sleeping schedule,Bed,
,to sleep,Bed,
,got to sleep,Bed,
,get to sleep,Bed,
,have to sleep on the floor,Bed,
,sleep on the floor,Bed,
,sleep on the,Bed,
,sleep on my bed,Bed,
,my lap to sleep,Bed,
,help me sleep,Bed,
,my cat sleeps on my pillow,Bed,
,fell asleep with me,Bed,
,fell asleep,Bed,
,asleep,Bed,
,asleep with me,Bed,
,got to sleep in this morning,Bed,
