,taskName,iconId,
,cook,ChiefHat,
,drink more water,Coffee,
,packet  sachet  bag,Bag,
,road trip,Map,
,present presentation showing,presentation,
,night mood star halfmoon,Moon,
,bedroom,Bed,
,vehicle drive ride car going bus minibus schoolbus,Bus,
,message mail email post,Mail,
,swim in pool,Diving,
,explore city,Map,
,cooking meal,ChiefHat,
,go by bus,Bus,
,play games vieogames console controller joystick,Joystick,
,navigator compass orientation route,Navigation,
,cooking breakfast,ChiefHat,
,chill in bedroom,Bed,
,breakfast dinner meal yummy sneak,Chinese,
,cooking sneaks,ChiefHat,
,sleep in a badroom,Bed,
,date at a restaurant,Cocktail,
,ride a bus,Bus,
,cook sneaks,ChiefHat,
,wait a bus,Bus,
,grilled grille griller taste meat,Grill,
,laptop computer portable device,Laptop,
,recording monitoring listening,Binoculars,
,sit in badroom,Bed,
,molecular nuclear atomic science,Molecula,
,bus drive,Bus,
,cocktail bar cloub beach drink juice,Cocktail-2,
,cocktail,Cocktail-2,
,theatre white house government history building museum culture,Bank,
,calc budget,Calculator,
,go to bad,Bed,
,plan a trip,Addlocation,
,train straight power gym olympic,barbell,
,dive swim bathe,Diving,
,bar cocktail,Cocktail-2,
,eat eating lunch dinner breakfast,Chinese,
,sea ocean sunset sunrise sun water,Sea,
,calculator,Calculator,
,love live date like heart heartrate,Like-2,
,edit location,Addlocation,
,buss bus station waiting riding driving,Bus,
,drink cocktail,Cocktail-2,
,buy a bad,Bed,
,road trip so fun,Map,
,calculate,Calculator,
,get a bad,Bed,
,location set,Addlocation,
,listen to music,Binoculars,
,exchange,Currencyexchange,
,calculate money,Calculator,
,find search,Search,
,come to bad,Bed,
,burger sneak meal yummy macdonalds kfc fastfood badfood,Gamburger,
,shop,Cart,
,brain train,Brain,
,picnic sausage spoon grilled,Sausage,
,house home concrete building,Home,
,cart bank money,Card,
,shopping,Cart,
,ball football basketball volleyball play,beach-ball,
,cloud clouds weather wear rain storm nature,Cloud,
,culinary restaurant  cafe  canteen cutlery tablespoon dinning,Dish,
,stars,Consellation,
,swimming through corals,additional,
,train guitar,Guitar,
,brainstorm,Brain,
,buy some food,Cart,
,would like to see the statue of liberty,Location,
,rocket star space flight,Rocket,
,specify location to trip,Addlocation,
,watch a star,Consellation,
,dive ocean,Diving,
,buy food,Cart,
,wash laundry,Basket,
,get a fee,Bagofmoney,
,mark checkpoint position flag,Flag,
,planet earth,Saturn,
,buy the,Cart,
,find stars,Consellation,
,transmitter receiver transmission signal antena stream,SatelliteDish,
,mood smile human people,Emotion,
,dive sea,Diving,
,synchrony synchronous synchronize upload,Cloudyes,
,work,Case,
,cart bank money,Card,
,give fee,Bagofmoney,
,get snacks,Donut,
,part,Diagram-1,
,office work,Case,
,make a fee,Bagofmoney,
,meeting meet conversation discuss,meeting,
,ring notification buzzer ask,Notification,
,picnic kebab bonfire,Marshmallow,
,parts,Diagram-1,
,go to  brooklyn bridge,Navigation,
,sign paper,Case,
,secure password,Authorizationsuccess,
,dive into sea,Diving,
,washing closes,Basket,
,flying to a place,Landing,
,moody good,Emotion,
,papers work,Case,
,secure my girl,Authorizationsuccess,
,axe chopping wood,Ax,
,chill medication mental relax,meditation,
,pointer,Dirrection,
,compas navigator barometer pointer,Compass,
,dive into ocean,Diving,
,business work,Case,
,improve security,Authorizationsuccess,
,buy snacks for breakfast,Donut,
,brilliant jewelry valuable,Diamond,
,like repost subscription,Facebook,
,melody,Music,
,draw picture,Chart-6,
,have a snack,Apple,
,sleep,Bed,
,activity data graph plot,Chart-14,
,turn left,Arrowleft,
,melody noun,Music,
,dialog conversation conversating message messages messaging text sms send talk write read,Dialog,
,go to hudson river,Navigation,
,pet dog cat pig,animal,
,sleep well,Bed,
,chat,Dialog,
,dishes dish,Dish,
,see new york,Landing,
,flying to los angeles,Landing,
,go to sleep,Bed,
,turn right,Arrowright,
,write edit paper,Edit-1,
,buy snack,Apple,
,chat conversation message messages,Dialog,
,listen to music,Earphones,
,bag bags baggage packing,Backpack,
,charge electric thunder,Lightning,
,cooking,ChiefHat,
,go to ministry of,Bank,
,draw picture poctures paint canvas palette,Palette,
,ice cream,Icecream-1,
,flying to florida,Landing,
,paperbag busines,Case,
,music hear listen song headphones sound,Earphones,
,music work,Earphones,
