taskName,iconId,,
blue sea checkin at this summer,example,,WARNING - HOW TO
see the glow of the sea,example,,Поле iconId должно соответствовать названию (он же id) файла иконки
swim in blue dark sea,example,,Разные варианты названий тасок должны находится в разных строках
deep blue sea,example,,Иконки используются только для понимания человеком.
fly fpv drone over a beautiful blue sea,example,,В дальнейшем файл будет экспортироваться в csv формат без иконок
go to karaoke bar with friends on friday,Karaoke,,
scream as horse at friday,Karaoke,,
make Jackie sister scream as horse after karaoke on friday,Karaoke,,
grow an apple tree,Apple,,
By an apples,Apple,,
Get some apples for a cake,Apple,,
Make apple juice,Apple,,
Get some apples for breakfast,Apple,,
Eat apples more,Apple,,
Put apple three's on the mars,Apple,,
Make apple cake traditional boutique food,Apple,,
Grab some coffee,Coffee,,
Get a rest at 11 am with coffee,Coffee,,
Bring coffee off the table,Coffee,,
Drink less coffee,Coffee,,
"Drink less coffee, right now",Coffee,,
Drink less coffee from next monday,Coffee,,
Stop drink that danm coffe,Coffee,,
